"Product","Category","Brand","Price"
TopShelf | Preroll 1g | H | Remix,Pre-Rolls,TopShelf,7
Stiiizy | Flower 3.5G | Sweet Tangie (B),Eighths,Stiiizy,32
Stiiizy | Flower 3.5G | Orange Crush (B),Eighths,Stiiizy,32
Sip Elixirs | Beverage 100mg | Indica | Wild Berry (Sleep),Beverages,Sip Elixirs,10
EV | RV Flower 3.5g | S | RV OG,Eighths,Ember Valley,35
WCC | IN Pre-Roll 1.2g | H | Pink Lemonade,Pre-Rolls,West Coast Cure (WCC),19
Royal Blunts | Pre-roll 1g | I | Platinum Og,Pre-Rolls,Royal Blunts,20
Kushy Punch | Gummy 100mg | H | Blue Raspberry (IND),Gummies,Kushy Punch,16
Hi | Pre Rolls .5g (2pk) | S/H | Clementine Crasher,Pre-Rolls,Hi,10
Sip Elixirs | Beverage 100mg | Blue Razz,Beverages,Sip Elixirs,10
Wyld | Gummies 100mg | Sour Apple,Gummies,WYLD,25
Heavy Hitters | Gummy 1:1 100mg | H | PK Resurrect (CBG),Gummies,Heavy Hitters,25
LEVEL | Single Hashtab 100mg | Sativa,Edibles,Level,10
Delights | Gummy 100MG | H | Blue Raspberry,Gummies,Delights,7
Time Machine | Flower 3.5g | S | Starberry Cough,Eighths,Time Machine,16
Eyeelle | Flower 3.5G | I | High Octane Mintz,Eighths,Eyeelle,15
The Fight | SM Flower 28g | Runtz,Ounces,The Fight,130
Almora Farm | LRE Bev 100mg | Strawberry Lemonade 12oz,Beverages,Almora Farm,12
Wyld | Gummies 100mg | Marionberry,Gummies,WYLD,25
Delights | Gummy 100MG | I | Cherry,Gummies,Delights,7
Royal Blunts | Pre-roll 1g | H | Lemon Cherry Gelato,Pre-Rolls,Royal Blunts,20
Sip Elixirs | Beverage 100mg | Indica | Sunset Punch (Sleep),Beverages,Sip Elixirs,10
Sauce | Dispo 1g | H | Animal Mintz,Disposables,Sauce,30
Sauce | Dispo 1g | I | Kings Kush,Disposables,Sauce,30
Jeeter | IN Pre-Rolls (5pk) | I | Berry White,Pre-Rolls,Jeeter,45
Stiiizy | 40's Multi 0.5g (5pk) | H | Pineapple Express,Pre-Rolls,Stiiizy,32
Heavy Hitters | Gummy 1:1 100mg | S | RC Escape (CBC),Gummies,Heavy Hitters,25
EV | Darts Preroll 1g | I | Purple Octane,Pre-Rolls,Ember Valley,9
Hi | Flavorade INF Blunt 1g | H | Guavaz,Pre-Rolls,Hi,25
The Fight | Flower 14g | I | Snoop Dogg OG,Halves,The Fight,70
Crave | Choc Bar 10mg | Coco Crunch,Edibles,Crave,2
Dizzies | Pre Ground 3.5g | H | Green Apple Sucker,Eighths,Dizzies,22
St. Ides | N Bev 100mg | Georgia Peach 12oz,Beverages,St. Ides,9
Wyld | Gummies 100mg | Peach,Gummies,WYLD,25
Raw | Organic Hemp Cones (6pk) | 1 1/4 Size,Accessories,Raw,4
St. Ides | N Bev 100mg | Wild Raspberry 12oz,Beverages,St. Ides,9
Wyld | Gummies 100mg | Boysenberry,Gummies,WYLD,25
Dizzies | Pre Ground 3.5g | H | Black Cherry Bomb Pop,Eighths,Dizzies,22
Hi | Flavorade INF Blunt 1g | H | Rainbow Sherbert,Pre-Rolls,Hi,25
Zig Zag| Unbleached Tips | 50 Pack (Wide),Accessories,Zig Zag,2
Uncle Arnie's | Bev 100mg | Magic Mango 2oz,Beverages,Uncle Arnie's,10
Dizzies | Pre Ground 3.5g | S | Frozen Lemonade,Eighths,Dizzies,22
WHOA | Chocolate 100mg | Cookies and Cream,Chocolates,WHOA,10
Decibel | Flower 3.5g | H | Golden Kiwi,Eighths,Decibel Gardens,65
Stiiizy | Flower 3.5g | H | Cocolato (B),Eighths,Stiiizy,32
Almora Farm | LR Gummy 100mg | Mixed Berry & Pomegranate,Gummies,Almora Farm,19
Dizzies | Pre Ground 3.5g | I | Grape Soda,Eighths,Dizzies,22
LEVEL | Protabs 25mg (10pk) | CBG,Edibles,Level,33
Stiiizy | Pod 1g | H | Gelato,Cartridges,Stiiizy,35
WHOA | Gummies 100mg | Mixed Berry,Gummies,WHOA,10
Humo | Smalls 3.5g | S | Limonada,Eighths,Humo,17
Stiiizy | Flower 3.5G | Orange Sunrise (LG),Eighths,Stiiizy,25
Reefers | Pre-Rolls 1g (2pk) | Whoa si Whoa,Pre-Rolls,Reefers,20
Stiiizy | Lite Battery | Black (PROMO),Accessories,Stiiizy,0.01
Hi | Flavorade INF Pre-Roll 1g | H | Pink Gelato,Pre-Rolls,Hi,25
Preferred Gardens | Pre-Roll 1g | Sherbanger 22,Pre-Rolls,Preferred Gardens,12
EV | RV Preroll 1g | S | Jack Herer,Pre-Rolls,Ember Valley,9
Rollers D | PG Flower 7g | S | Sweet Cheesus,Quarters,Rollers Delight,15
LEVEL | Protab+ 10pk | Boost (THC/THCv/CBG),Edibles,Level,33
Stiiizy | Pod .5g | H | Granddaddy Purp,Cartridges,Stiiizy,20
Stiiizy | AIO 1G | H | Do-Si-Dos,Disposables,Stiiizy,40
Boutiq | LR Dispo 1g | H | Modified Grapes,Disposables,Boutiq,27
Stiiizy | Flower 3.5G | Biscotti Gusherz (LG),Eighths,Stiiizy,25
Sherbinskis | Flower 3.5G | S | Snack Box,Eighths,Sherbinskis,50
Stiiizy | Flower 3.5G | Sherbbles (B),Eighths,Stiiizy,32
St. Ides | N Bev 100mg | Lemonade Tea 12oz,Beverages,St. Ides,9
Stiiizy | LRD AIO 1G | S | Purple Haze,Disposables,Stiiizy,45
The Fight | SM Flower 28g | I | Snoop Dogg OG,Ounces,The Fight,130
Heavy Hitters | Gummy 100mg | I | Holy Grape,Gummies,Heavy Hitters,20
Almora Farm | LRE Gummy 100mg | S | Raspberry & Hibiscus,Gummies,Almora Farm,19
Heavy Hitters | Battery 510 | Black Variable Voltage + Charger,Accessories,Heavy Hitters,22
Stiiizy | Pod 1g | S | Super Lemon Haze,Cartridges,Stiiizy,35
Delights | Gummy 100MG | H | Peach,Gummies,Delights,7
Dizzies | PreGround 14g | I | Blueberry Blast,Halves,Dizzies,58
WHOA | Chocolate 100mg | Caramel Chocolate (PROMO),Chocolates,WHOA,0.01
Humo | CR Cart 1g | S | Limonada,Cartridges,Humo,22
WHOA | Gummies 100mg | Pineapple Con Chile,Gummies,WHOA,10
